target,source,type
Sungsik Kong,Laura Kubatko,PHD
Laura Kubatko,Dennis Pearl,PHD
Dennis Pearl,Jerzy Neyman,PHD
Jerzy Neyman,Waclaw Sierpinski,PHD
Waclaw Sierpinski,Stanislaw Zaremba,PHD
Waclaw Sierpinski,Georgy Voronoy,PHD
Stanislaw Zaremba,Jean Gaston Darboux,PHD
Stanislaw Zaremba,Charles Emile Picard,PHD
Jean Gaston Darboux,Michel Chasles,PHD
Michel Chasles,Simeon Denis Poisson,PHD
Simeon Denis Poisson,Pierre-Simon Laplace,PHD
Simeon Denis Poisson,Joseph-Louis Lagrange,PHD
Joseph-Louis Lagrange,Giovanni Battista Beccaria,PHD
Joseph-Louis Lagrange,Leonhard Euler,PHD
Leonhard Euler,Johann Bernoulli,PHD
Johann Bernoulli,Jacob Bernoulli,PHD
Jacob Bernoulli,Peter Werenfels,PHD
Pierre-Simon Laplace,Jean le Rond d'Alembert,PHD
Pierre-Simon Laplace,Christophe Gadbled,PHD
Pierre-Simon Laplace,Pierre Le Canu,PHD
Charles Emile Picard,Jean Gaston Darboux,PHD
Jean Gaston Darboux,Michel Chasles,PHD
Georgy Voronoy,Andrey Markov,PHD
Andrey Markov,Pafnuty Chebyshev,PHD
Pafnuty Chebyshev,Nikolai Brashman,PHD
Nikolai Brashman,Joseph von Littrow,PHD
Sungsik Kong,Robert Murphy,MS
Robert Murphy,Geroge Gorman,MS
Robert Murphy,Alan Leviton,MS
Alan Leviton,George Sprague,MS
George Sprague,Willis H. Rich,MS
Willis H. Rich,David Starr,MS
David Starr,Louis Agassiz,MS
Louis Agassiz,Carl Friedrich Philipp von Martius,MS
Santiago Sanchez-Pacheco,Robert Murphy,MS
Pedro Henrique Bernardo,Robert Murphy,MS
Jing Peng,Laura Kubatko,PHD
Yuan Gao,Laura Kubatko,PHD
Andrew Richards,Laura Kubatko,PHD
Mattew Wascher,Laura Kubatko,PHD
Joseph von Littrow,August Gottlieb Meissner,PHD
Nikolai Brashman,Nikolai Ivanovich Lobachevsky,PHD
Nikolai Ivanovich Lobachevsky,Johann Martim Christian Bartels,PHD
Johann Martim Christian Bartels,Gerog Christoph Lichtenberg,PHD
Johann Martim Christian Bartels,Johann Friedrich Pfaff,PHD
Johann Martim Christian Bartels,Abraham Gotthelf Kastner,PHD
Peter Werenfels,Theodor Zwinger Jr.,PHD
Theodor Zwinger Jr.,Sebastian Beck,PHD
Sebastian Beck,Johann Jacob Grynaeus,PHD
Johann Jacob Grynaeus,Simon Sulzer,PHD
Johann Jacob Grynaeus,Jakob Andreae,PHD
Jakob Andreae,Erhard Schnepff,PHD
Erhard Schnepff,Martin Luther,PHD
Martin Luther,Bartholomew Arnoldi,PHD
Martin Luther,Jodocus Trutfetter,PHD
Martin Luther,Johann von Staupitz,PHD
Simon Sulzer,Wolfgang Fbricius Capito,PHD
Simon Sulzer,Simon Grynaeus,PHD
Wolfgang Fbricius Capito,Desiderius Erasmus,PHD
Desiderius Erasmus,Alexander Hegius von Heek,PHD
Desiderius Erasmus,Jan Standonck*,PHD
Desiderius Erasmus,George Hermonymus,PHD
George Hermonymus,Georgios Germistos Plethon,PHD
Georgios Germistos Plethon,Demetrios Kydones,PHD
Demetrios Kydones,Philip of Pera*,PHD
Demetrios Kydones,Nilus Cabasilas,PHD
Nilus Cabasilas,Gregory Palamas,PHD
Gregory Palamas,Nicodemus of Vatopedi*,PHD
Gregory Palamas,Nicephorus Gregoras,PHD
Nicephorus Gregoras,Theodore Metochites,PHD
Theodore Metochites,Manuel Bryennius,PHD
Manuel Bryennius,Georgius Pachymeres,PHD
Manuel Bryennius,Gregor Chioniades,PHD
Gregor Chioniades,Shams al-Din al-Bukhari,PHD
Shams al-Din al-Bukhari,Nasir al-Din al-Tusi,PHD
Nasir al-Din al-Tusi,Kamal al-Din Ibn Yunus,PHD
Kamal al-Din Ibn Yunus,Saraf al-Din al-Tusi*,PHD
Georgius Pachymeres,Georgius Acropolites,PHD
Georgius Acropolites,Theodorus Exapterius*,PHD
Georgius Acropolites,Nicephorus Blemmydes,PHD
Nicephorus Blemmydes,Theodoros Prodromos,PHD
Nicephorus Blemmydes,Demetrios Karykes,PHD
Demetrios Karykes,Theodoros Prodromos,PHD
Theodoros Prodromos,Stephaonos Skylitzes,PHD
Theodoros Prodromos,Michael Italikos,PHD
Stephaonos Skylitzes,Anna Comnena*(Constantinople),PHD
Michael Italikos,Theodore of Smyrna,PHD
Theodore of Smyrna,John Italus,PHD
John Italus,Michael Psellos,PHD
Michael Psellos,Nicetas Byzantius*,PHD
Michael Psellos,John Maruropous*,PHD
Michael Psellos,John Xiphilinus*,PHD
Alexander Hegius von Heek,Rodoiphus Agricola,PHD
Rodoiphus Agricola,Giorgio Valla,PHD
Rodoiphus Agricola,Battista Guarino,PHD
Rodoiphus Agricola,Johann von Dalberg,PHD
Giorgio Valla,Johannes Argyropoulos,PHD
Johannes Argyropoulos,Gaetano da Thiene,PHD
Johannes Argyropoulos,Georgios Germistos Plethon,PHD
Gaetano da Thiene,Paulus Venetus,PHD
Paulus Venetus,Pierre d'Ailly,PHD
Pierre d'Ailly,Greory of Rimini,PHD
Greory of Rimini,William of Ockham,PHD
William of Ockham,John Duns Scotus,PHD
John Duns Scotus,William of Ware*,PHD
John Duns Scotus,Petrus Ferrandi (Peter of Spain) Hispanus,PHD
Petrus Ferrandi (Peter of Spain) Hispanus,Johannes Pagus*,PHD
Petrus Ferrandi (Peter of Spain) Hispanus,Albertus (Albert the great) Magnus,PHD
Albertus (Albert the great) Magnus,Jordan of Saxony,PHD
Jordan of Saxony,Reginald of Saint-Gilles,PHD
Reginald of Saint-Gilles,Domingo (St. Dominic) de Guzman,PHD
Domingo (St. Dominic) de Guzman,Diego de Acebes,PHD
Diego de Acebes,Martin de Bazan,PHD
Martin de Bazan,Garcia de Bourges,PHD
Garcia de Bourges,Miguel de Bourges,PHD
Miguel de Bourges,Bernardo de Bourges,PHD
Bernardo de Bourges,Juan de Bourges,PHD
Juan de Bourges,Esteban de Bourges,PHD
Esteban de Bourges,Beltran de Bourges,PHD
Beltran de Bourges,Raimundo de Teledo,PHD
Raimundo de Teledo,Pedro de Bourges,PHD
Pedro de Bourges,Hugues 1st de Cluny,PHD
Hugues 1st de Cluny,Odilon de Cluny,PHD
Odilon de Cluny,Mayeul de Cluny,PHD
Mayeul de Cluny,Aimar de Cluny,PHD
Aimar de Cluny,Odon de Cluny,PHD
Odon de Cluny,Bernon de Cluny,PHD
Bernon de Cluny,Badilon 2nd d'Autun,PHD
Badilon 2nd d'Autun,Arnulf d'Autun,PHD
Arnulf d'Autun,Badilon 1st d'Autun,PHD
Badilon 1st d'Autun,Altee d'Autun,PHD
Altee d'Autun,Bernon d'Autun,PHD
Bernon d'Autun,Modoin d'Autun,PHD
Modoin d'Autun,Alderic d'Autun,PHD
Alderic d'Autun,Martin 2nd d'Autun,PHD
Martin 2nd d'Autun,Renaud 1st d'Autun,PHD
Renaud 1st d'Autun,Hiddon d'Autun,PHD
Hiddon d'Autun,Gairon d'Autun,PHD
Gairon d'Autun,Aoderannu d'Autun,PHD
Aoderannu d'Autun,Amatre 2nd d'Autun,PHD
Amatre 2nd d'Autun,Vascon d'Autun,PHD
Vascon d'Autun,Frou d'Barjon,PHD
Vascon d'Autun,Ansbert d'Autun,PHD
Ansbert d'Autun,Hermenarius d'Autun,PHD
Hermenarius d'Autun,Leger d'Autun*,PHD
Frou d'Barjon,Mederic d'Autun,PHD
Mederic d'Autun,Heroald d'Autun,PHD
Heroald d'Autun,Lupon d'Autun,PHD
Lupon d'Autun,Syagre d'Autun,PHD
Syagre d'Autun,Remi d'Autun,PHD
Remi d'Autun,Eupard d'Autun,PHD
Eupard d'Autun,Nectaire d'Autun,PHD
Nectaire d'Autun,Agrippin d'Autun,PHD
Agrippin d'Autun,Procule 2nd d'Autun,PHD
Procule 2nd d'Autun,Valeolus d'Autun,PHD
Valeolus d'Autun,Procule 1st d'Autun,PHD
Procule 1st d'Autun,Pragmace d'Autun,PHD
Pragmace d'Autun,Flavichon d'Autun,PHD
Flavichon d'Autun,Euphrone d'Autun,PHD
Euphrone d'Autun,Leonce d'Autun,PHD
Leonce d'Autun,Evance d'Autun,PHD
Evance d'Autun,Simplice d'Autun,PHD
Simplice d'Autun,Egemone d'Autun,PHD
Egemone d'Autun,Cassien d'Autun,PHD
Cassien d'Autun,Rhetice d'Autun,PHD
Rhetice d'Autun,Martin 1st d'Autun,PHD
Martin 1st d'Autun,Amatre d'Autun,PHD
Amatre d'Autun,Andochius d'Autun,PHD
Amatre d'Autun,Irenee (St. Irenaeus) de Lyon,PHD
Irenee (St. Irenaeus) de Lyon,Polykarpos (St. Polycarp) o Smyrnaios,PHD
Andochius d'Autun,Polykarpos (St. Polycarp) o Smyrnaios,PHD
Polykarpos (St. Polycarp) o Smyrnaios,John Zebedee,PHD
John Zebedee,Jesus Christ,PHD
Jesus Christ,John the Baptist*,PHD
Johann von Dalberg,Johannes Trithemius,PHD
Johannes Trithemius,Jacob Wimpheling,PHD
Jacob Wimpheling,Ludwig Dringenberg,PHD
Ludwig Dringenberg,Thomas a Kempus,PHD
Thomas a Kempus,Florentius Radewyn,PHD
Florentius Radewyn,Geert (Gerhard Groet) Groote,PHD
Geert (Gerhard Groet) Groote,William of Ockham,PHD
Battista Guarino,Guarino de Verona,PHD
Guarino de Verona,Giovanni di Conversino da Ravenna,PHD
Guarino de Verona,Manuel Chrysoloras,PHD
Manuel Chrysoloras,Demetrios Kydones,PHD
Manuel Chrysoloras,Francesco Petrarch,PHD
Francesco Petrarch,Convenevole da Prato,PHD
Francesco Petrarch,Giovanni Colonna*,PHD
Francesco Petrarch,Dionigi di Borgo San Sepolcro*,PHD
Convenevole da Prato,Duccio di Amadore*,PHD
Simon Grynaeus,Philipp Melanchthon,PHD
Simon Grynaeus,Johannes Reuchlin,PHD
Philipp Melanchthon,Martin Luther,PHD
Philipp Melanchthon,Johannes Reuchlin,PHD
Johannes Reuchlin,Johannes Argyropoulos,PHD
Johannes Reuchlin,George Hermonymus,PHD